URLLength,DomainLength,TLDLength,NoOfSubDomain,NoOfObfuscatedChar,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,IsHTTPS,NoOfURLRedirect,NoOfSelfRedirect,label,kmeans_cluster
0.0025947067981318,0.160377358490566,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2
0.007265179034769,0.4245283018867924,0.0909090909090908,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,5
0.0020757654385054,0.1415094339622641,0.0909090909090908,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0.0008649022660439,0.0660377358490565,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0025947067981318,0.160377358490566,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2
0.0027676872513405,0.1698113207547169,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0043245113302196,0.1509433962264151,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.0025947067981318,0.160377358490566,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0050164331430548,0.2830188679245283,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.0136654558034942,0.1415094339622641,0.0909090909090908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.001556824078879,0.1037735849056603,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0034596090641757,0.2075471698113207,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0036325895173845,0.2169811320754717,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0012108631724615,0.0849056603773585,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0022487458917142,0.0566037735849056,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0.0017298045320878,0.1132075471698113,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0019027849852966,0.1226415094339622,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0017298045320878,0.1132075471698113,0.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,3
0.0027676872513405,0.1698113207547169,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0019027849852966,0.1226415094339622,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2
0.0019027849852966,0.1226415094339622,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0036325895173845,0.2169811320754717,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0133194948970766,0.1415094339622641,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.0038055699705933,0.2075471698113207,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,2
0.002421726344923,0.1509433962264151,0.0909090909090908,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0039785504238021,0.2169811320754717,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,3
0.0076111399411866,0.1415094339622641,0.0909090909090908,0.0,0.0,0.006060606060606,0.25,0.0,1.0,0.0,0.0,0,0
0.0062272963155163,0.2169811320754717,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.0055353745026811,0.3018867924528302,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.0017298045320878,0.1037735849056603,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0.0017298045320878,0.1132075471698113,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0012108631724615,0.0849056603773585,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2
0.0012108631724615,0.0849056603773585,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0017298045320878,0.1226415094339622,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0.0022487458917142,0.1415094339622641,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.001556824078879,0.1037735849056603,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0079571008476042,0.3584905660377358,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.0036325895173845,0.2075471698113207,0.0909090909090908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.0067462376751427,0.3679245283018867,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.002421726344923,0.1509433962264151,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.001556824078879,0.1037735849056603,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0012108631724615,0.0849056603773585,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.004843452689846,0.2830188679245283,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0051894135962636,0.0377358490566037,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.0027676872513405,0.1698113207547169,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0043245113302196,0.1698113207547169,0.0909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0.0022487458917142,0.1415094339622641,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0039785504238021,0.2169811320754717,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.0036325895173845,0.2169811320754717,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0041515308770108,0.2264150943396226,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.0017298045320878,0.1132075471698113,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.002421726344923,0.1509433962264151,0.1818181818181818,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0020757654385054,0.1320754716981132,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0020757654385054,0.1320754716981132,0.0909090909090908,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0.0017298045320878,0.1132075471698113,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0025947067981318,0.160377358490566,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0020757654385054,0.1320754716981132,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0.0134924753502854,0.0566037735849056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.002421726344923,0.1509433962264151,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0025947067981318,0.160377358490566,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0020757654385054,0.1226415094339622,0.0909090909090908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.0013838436256702,0.0943396226415094,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0008649022660439,0.0660377358490565,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.002421726344923,0.1509433962264151,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0029406677045493,0.1792452830188679,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0043245113302196,0.2452830188679245,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0.0019027849852966,0.1226415094339622,0.0909090909090908,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0
0.0058813354090987,0.3490566037735849,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0.0005189413596263,0.0566037735849056,0.0909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
